"","CC","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"1","AF",2047.05164722094,96493.147875931,187428.980105193,217498.260831328,172029.430034707,106647.433887305,61263.7118326048,38818.6771410531,26727.6952475088,18990.1744107884,14029.0014826482,10726.7072804181,8471.55952721879,7024.66331675303,6088.16788973034,7078.53509475267,981363.197605163
"2","AS",1390.01574437677,47734.5965626283,224281.833362113,279311.792661248,192911.801594599,112759.337640924,63904.0467015203,42241.0268321763,30669.6959415444,22117.0739429341,16312.6224797811,12443.9663009427,9631.49028934112,7659.34478980309,6351.05998747844,6716.23113459002,1076435.935966
"3","EU",4445.99265933778,83743.263168139,151366.036246243,160760.864703701,114056.096834574,64492.9443674263,32220.2010605888,17737.2014132294,11553.6070394157,8008.79758771408,5864.18412313659,4499.48382096957,3527.5121924526,2864.7533602862,2420.24456865814,2744.29678879399,670305.479934667
"4","NA",10310.8374552683,96934.1591250267,163941.637049908,135256.23885605,83369.9004555495,49410.9662971928,29565.2165308713,19044.9872377909,13360.3334802351,9783.90540117107,7454.55483620708,5946.58957720527,4885.64255469827,4167.39216347852,3717.98522374612,5092.60232736351,642242.948571763
"5","OC",1868.54051164982,34349.0708739854,104482.037246404,179212.247999369,159411.503835361,105387.404684881,61362.2560439154,39954.018101443,27652.9723548536,19958.2011444476,14613.2023224326,11030.4651877023,8539.39381292972,7054.77371891055,6118.44496608548,7546.82588958063,788541.358693951
"6","SA",1114.27390871516,31361.4528938583,37928.7965986727,26750.4240229533,16697.2393147398,9732.53367130802,5477.92987543901,3400.11953949442,2350.26725725634,1679.91143337898,1266.40526011504,1006.61134009575,820.262797537761,698.463959877016,629.439182805685,948.068809237131,141862.199865484
