"","CC","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AF",0.00205069563533655,0.174075136916681,0.251100792592423,0.196377499192052,0.135708480481621,0.0816982174700857,0.0480919504514702,0.0311066995187121,0.0213571906034364,0.0151872090459698,0.0112221122260593,0.008608169918255,0.00680464483339089,0.00566358027014994,0.00491752103125201,0.00603009981310431,1,10251.21926
"2","AS",0.00293855334960402,0.196675599936789,0.238109884905211,0.20451559250348,0.132555966326997,0.0766810199136395,0.0439769812574805,0.0290418203994986,0.0208080548567329,0.0148953963303007,0.010945019267754,0.00832458156508979,0.0064424002262491,0.00514270492628444,0.0042822325130518,0.00466419172183738,1,153728.925015975
"3","EU",0.0172276677949778,0.290683566976689,0.223517819679378,0.183547268314758,0.116589697665493,0.0652530818569652,0.0344469372401342,0.0202090411789837,0.0136820504859535,0.00959362048644576,0.00695689103513722,0.00526990465095506,0.00405972285032944,0.00319917193327648,0.00272258501062812,0.00304097283989474,1,75095.6958077459
"4","NA",0.0188266227267368,0.336991052595695,0.2503624354263,0.149021320527503,0.0859839403329384,0.0506533023405573,0.0308045061588558,0.0201250004396744,0.0140909672040934,0.0102464911874354,0.00779944268609906,0.00621284426341812,0.00509958905773683,0.0043619426326084,0.00390546881842939,0.00551507360191846,1,59873.0618187545
"5","OC",0.0134020611886439,0.177660553629341,0.195310638147994,0.18919489046493,0.148012106133156,0.0945491151733305,0.0551350019877112,0.0357241799507501,0.0246012603114724,0.0175943446160347,0.0128838432858604,0.00974781690979019,0.00757269019812013,0.00627287330327601,0.00545581415603635,0.00688281054355342,1,3299.4985509
"6","SA",0.00718916254766278,0.389289067275372,0.313547600611404,0.128215203636125,0.0652711804502059,0.0348018845585399,0.0194252441386371,0.0120790966129364,0.00800967729727402,0.00553660562115674,0.00408632735535927,0.0031642281016374,0.00253479168376694,0.00213941926461729,0.00191484286367307,0.00279566798163278,1,21221.0586456294
