"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"1","AGO",2.61880209543729e-05,15.9219393445723,108.885654834762,123.939854179996,111.973523830305,67.6560037676507,43.4335984914945,29.2680322983696,20.9489663039447,16.479977184947,12.6110397073222,9.56079663159767,7.25770436276867,5.62591068854789,4.47175061757855,4.88973332857022,582.924511760448
"2","ARE",0.343906732251775,60.6556426333803,103.159838980125,74.3962973303544,39.9086088845862,19.8381346783147,11.4280203426483,7.53264018139101,5.24962552019736,3.58919185082072,2.54243595576261,1.85132613203127,1.38691641124555,1.10669132938191,0.897242576417397,0.929894482048549,334.816414020957
"3","ARG",0.227341017797663,28.940035344299,58.0926469007965,41.5660800961658,21.5261946073842,10.7089959107553,5.78625801376358,3.4254606290446,2.18795388667619,1.50768374352714,1.0883499701584,0.80774092234719,0.630005566661705,0.500566051421381,0.415087603863602,0.516629070104447,177.927029334767
"4","ARM",0.4657932372993,6.1065409603351,6.56489407801896,3.44687733235406,2.25663714147647,1.58897583738328,1.06748412455485,0.77023710451838,0.560517431887919,0.41554615280552,0.326054689033006,0.271995255095169,0.23408200547953,0.208707720615009,0.193732158510049,0.286997126850099,24.7650723562167
"5","AUS",0.170333749322981,4.63784040586244,216.622522717809,497.541853886477,464.38160192079,307.423232244527,176.294083751635,113.935191898731,78.5148008425088,56.82957133984,41.5431610343285,31.1909186507226,24.0046244745366,19.7474929143766,17.0521126359509,20.3386515928311,2070.22799406025
"6","AUT",0.0073306615725762,17.9773504531403,5.49353186310345,3.54531839370979,1.87417806222498,0.91145138272698,0.413198983906032,0.214454763736246,0.133753755299046,0.0955406797656909,0.0763653423954571,0.0691271882212309,0.0563185556780721,0.0460521600300968,0.0395569113597958,0.0408572808859868,30.9943864377557
"7","AZE",0.586167208340653,15.0973761579481,19.396504718436,13.4029094311593,7.33335612220719,4.38540107261184,2.74967949906945,1.88766541750599,1.34924490183093,0.971047610584066,0.733061828595073,0.570915710559613,0.458910960538262,0.38064855808488,0.330822972534079,0.422147566156971,70.0558597361623
"8","BEL",0.102646858228771,26.1461612109988,5.86663433794562,2.21619206673881,1.37073170260871,0.87581540464773,0.529859462058069,0.342159266824388,0.242327627975959,0.158441575642094,0.116921758089206,0.0821820868839979,0.061114943497753,0.0500435192919511,0.0419070921648147,0.0399931376853801,38.2431320512821
"9","BEN",0,0.512927222444545,2.82454890274415,2.98151600181231,1.52938727368074,0.656175162644963,0.313007726959376,0.170951456473483,0.104940019455786,0.0694287648153198,0.0472529772340501,0.0321995809264825,0.0249006291782448,0.0190107958107759,0.0164065808210399,0.0189122860253419,9.32156538102661
"10","BFA",0,76.5331945327313,156.899709666292,119.302562407637,64.0985066605136,33.8901582862347,19.3384499094957,11.3349121485138,6.6799756124297,4.14820671506609,2.70804858194176,1.94776938496864,1.54720150533586,1.29149813254187,1.20706492639571,1.5421751846887,502.469433654786
"11","BGD",0.00337570618503896,188.691655429008,518.646396033399,442.198595800168,221.244210932283,94.7720897436485,55.7932610722668,35.5940834406129,23.3192643430256,16.4253326177034,11.7007932269655,8.2555577244886,6.08076379817488,4.56749169555504,3.57758180754852,3.51811983569502,1634.38857320673
"12","BGR",0.0143231109463836,0.500536736008151,230.385323973074,466.350909783719,655.354081390575,538.02460380001,248.200430749595,107.977495315447,63.0666384193224,41.8036921664332,30.8450864002438,22.9871843965631,17.8844809727212,13.9437769820869,11.8181360979653,11.5036138514781,2460.66031414619
"13","BHR",0.138916369331149,14.6200191114097,16.5653131535522,9.41143350503127,4.964016450692,3.16245536827634,2.03977594134222,1.5054454303726,1.20515337003883,0.946540658001309,0.759950271026802,0.629733320236412,0.498672018566312,0.424013382941432,0.363603515368925,0.435837846223881,57.6708797124113
"14","BIH",0,0,826.792124344237,1454.73264339172,1350.76172426547,914.668882032375,510.150092759281,277.535035424255,185.974540308231,142.98096003554,111.579973875922,90.9126337995447,74.8397925499522,62.6161960002347,52.5885807923397,57.4947156970941,6113.6278952762
"15","BLR",0.143251996183049,9.47337026252787,13.5980784195375,15.0201275598492,12.4526966425306,6.57379820706674,3.36228784716702,1.99925880431792,1.32967150156272,0.91628627521294,0.657920756972877,0.493918323021071,0.381159828993119,0.311959280443144,0.270587599123791,0.320803346274963,67.3051766507846
"16","BOL",0.26034736930783,3.66249109449456,4.19379874568541,2.87342401497497,1.8000579518814,1.2700843894966,0.863981325635474,0.628635389839871,0.474057571980331,0.346019410265613,0.270743167193621,0.224407526369166,0.192778882957364,0.17032034417425,0.159625550026473,0.256860364206557,17.6476330984895
"17","BRA",0.00815589389615715,4.20581287500343,14.3574651109611,14.4785476048873,9.14288050156105,3.93787698627046,1.83962030024459,1.1513660676033,0.769959593764773,0.501271880979652,0.338213486177506,0.243421557468683,0.185110963159773,0.148611523315511,0.127171816813822,0.171927269049076,51.6074134311561
"18","BRN",0.000347404217677746,0.619787459045927,1.60095387965933,2.60200680575592,2.86567737752118,2.69841273087163,2.41928854371475,2.18206847891865,1.90385835559813,1.52969068390741,1.1970329489563,0.924109788581207,0.702680898360418,0.555309452140603,0.459101619859336,0.529025733713155,22.7893521608216
"19","BWA",0,0.3945548703914,896.532906025248,1128.54629471296,584.513343945301,334.081059397976,170.497769788861,87.0511937793876,52.3685790112426,33.4127399765727,22.0251790058536,16.0472106811084,11.746473529862,8.99018616366631,7.26003606274927,7.18001340890873,3360.64754036009
"20","CAN",0.226339820750058,6.28238322714148,211.236224610439,228.277577840078,109.177456055473,58.546647060561,31.5110427612211,18.7339005820423,13.0371716942411,9.16693069934117,6.63006898331091,5.11417026551918,3.9910054883315,3.20859154219515,2.74582890953959,2.70551300741882,710.590852547605
"21","CHE",0.215119749494464,21.1165136526088,5.45780780707533,1.24025222705377,0.499709760859326,0.22461735730523,0.122256187495871,0.072030808460944,0.0454495249084466,0.0306684767399771,0.0228513888164378,0.0173903856213215,0.0141242558568813,0.0118303222801547,0.0096818650946668,0.011054417527025,29.1113581871986
"22","CHL",0.705459403738953,18.088357040087,171.408575431928,279.268149889701,234.653991236029,157.395431990522,74.0739027741285,33.2857711677287,19.2135008556072,12.7497036886957,9.11929464977017,7.07461917281704,5.53561788060019,4.56460274724808,3.93041158693344,5.1986057535669,1036.2659952691
"23","CHN",0.0229129014419307,2.85306819913434,216.35795497699,272.661716606178,167.776272136836,96.562804179195,54.7035482657719,34.9332153005215,24.7713173360684,17.5946466457521,12.9691249797518,10.0360294640846,7.87191436669427,6.30518288032131,5.2367741298129,5.33160113023784,935.988083498791
"24","CIV",0,2.83975832760456,5.06263224894457,5.69424886956757,4.38441972619062,3.05039594976274,2.05619746624093,1.41003282111077,0.947600894694901,0.600498276937523,0.407281776740542,0.289291057618646,0.203432704800103,0.154282564356908,0.12046113227003,0.111296736315054,27.3318305531555
"25","CMR",0,2.98203867704223,23.7749821431511,29.0187325195385,24.6430419029888,15.1102698144901,10.5309770957764,7.39707771615782,5.02180404318879,3.4537450784359,2.44951147445721,1.77678057751364,1.36371364491928,1.08540184156396,0.87837684806067,1.00153482295417,130.487988200239
"26","COG",0,7.65156868581831,23.8320516928264,27.03616069842,12.7726236994825,9.3175200517124,7.69842021710417,6.20583846292031,4.75093770280837,3.78258368138795,3.02250744411292,2.44730589224537,2.00241107716422,1.64971083421006,1.44809162682286,1.64195138766735,115.259683154703
"27","COL",0.0514639608671099,1.4454110804741,146.726218037427,185.605381596687,119.574644944162,63.532160799138,35.5405891287772,22.4144317114433,17.1478092320274,13.9811738940519,11.4108562741039,9.68617061132139,8.08938499857306,6.85797080379481,6.04414155440577,7.81554180319284,655.923350430446
"28","CRI",0.0617573934990189,13.8353605774436,48.3666362982435,47.2753904148751,28.7239829773885,13.6097780243238,7.41863135746404,4.52603687723482,2.91831064835292,2.04227402974457,1.45752686145645,1.11839298146364,0.897147852744554,0.744447986135303,0.655628732106539,0.882238498214124,174.53354151069
"29","CUB",0.0834053536358395,1188.82261101311,2405.87152271906,1862.20944579608,793.281999830216,347.146774518229,213.812663369337,129.522332658521,79.6907666153858,50.3412780169031,32.639906188435,21.6889239636588,15.7393007916017,11.5582974367859,9.34689471417144,9.88192459841442,7171.63804758355
"30","CUW",0,191.808997422477,443.83068207138,370.114277062895,152.790912967783,55.4144558969066,27.775945112258,16.2976472636218,10.2122167449935,6.99739843352617,5.2459796347236,4.11860283077892,3.33760534843494,2.82847581403828,2.58332587235784,3.90502083455392,1297.26154331073
"31","CYP",0,653.022818385664,1395.45084471914,1143.40138079174,621.739436093083,380.232225670285,257.577465352292,181.299729594224,127.594389743904,93.8634791327461,69.796652164811,53.7595476802369,42.4204827109042,35.5529115320381,29.9912222339897,35.1574141949366,5120.86
"32","CZE",0.0695662090513501,31.0049529854214,204.519167278513,235.764010602434,142.877288147423,72.7005338985664,36.0972654244238,20.0651706632562,13.0237243774391,9.00821180074692,6.57556268116644,4.95138694728194,3.75054829881179,2.95626344225736,2.4156923994401,2.46351966189141,788.242864818125
