"","CC","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"1","AF",2.53643927198934,169.259824111285,406.73763016494,475.601891543667,365.874190708541,220.000980713897,127.12753985288,80.3447696442309,54.3960502180631,38.3579007386509,28.015789108144,21.1614708724149,16.5507652286574,13.5529644563085,11.6135903878873,13.1200126403819,2044.25180966194
"2","AS",1.20029319530565,51.6957845667081,274.249351504284,358.978606726355,254.466458384267,146.986064601326,81.7508711022931,53.545828527555,38.7521681480757,28.0801616663064,20.7541960723832,15.78382022277,12.1847533696835,9.65475215594803,7.97390460798306,8.35182193303819,1364.40883678428
"3","EU",8.32305138760367,80.6907982359524,167.045847720057,186.805301103685,135.644910000558,78.3793685878561,39.4296536690333,21.7133912961042,14.0224471858692,9.66494224699795,7.05172851602476,5.40119537177358,4.23242394155396,3.43807107093499,2.89991969326531,3.29092438055833,768.033974407828
"4","NA",5.20338866499998,82.9881019608602,129.819039900151,107.234613765548,63.9072801641158,36.9493150478914,21.9158920420976,13.9239705757771,9.57843113196738,6.87715379692455,5.14958428524207,4.0427091790304,3.27253661064704,2.76119964667094,2.43221688773771,3.21975803948361,499.275191699145
"5","OC",1.73445522924943,33.6218893916644,154.055931735143,294.654860231281,267.085370110567,176.645745324208,102.244343739681,66.3588368057105,45.8293900967124,33.1003960527546,24.2129215200148,18.2347374124634,14.0823984838771,11.6137119866499,10.0545666049215,12.2391934965633,1265.76874822146
"6","SA",1.02154224986214,32.4534627274599,51.3521025532057,41.9149723052766,25.7191690357423,14.3638671104169,7.8595264737085,4.73603440773459,3.19049460615073,2.25273357433133,1.67827974978459,1.3178212432675,1.06540444095672,0.899620995872067,0.803817696343375,1.18259785129087,191.811447021404
