"","ISO3","species","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"21","CHE","CO2",0.00350406837869695,0.751361504067873,0.183261707916358,0.0363237197820072,0.012983287531482,0.00518327669203816,0.00263801376735198,0.00151381679530283,0.000929460109104451,0.000618316429425301,0.000456207459442181,0.000341084094260246,0.000272709914472756,0.000222967402437334,0.000182143242749134,0.000207716416998181,1,3488000
"22","CHL","CO2",0.0105783222232017,0.182507988312704,0.216205446282064,0.203492138097696,0.155848262923893,0.102126623471429,0.0501222269358814,0.0247379617393099,0.0152243379560503,0.0102975769753829,0.00739418484668303,0.0057224847911143,0.00449861302068089,0.00372022812682763,0.0032229650878579,0.00430063920922398,1,47689598.6269213
"23","CHN","CO2",0.000169543574474291,0.0135272551821839,0.231978611878722,0.286543283551303,0.176316884449139,0.101648791113265,0.057673912954463,0.036876187213094,0.0261594467860266,0.0185849067331921,0.0137040652881581,0.010607168992221,0.00832211218996806,0.00667074015491317,0.00554597318111575,0.00567111675776035,1,4732144952.49576
"24","CIV","CO2",0,0.103899309710769,0.185228436825652,0.208337632508488,0.160414419285372,0.111605987891307,0.0752308727453141,0.0515894029991337,0.0346702315767686,0.0219706570977623,0.0149013720814803,0.0105844011090303,0.007443069149886,0.00564479441129477,0.00440735691068165,0.00407205569705994,1,3275491.35111001
"25","CMR","CO2",0,0.0491821338806239,0.155637775514176,0.188074960070572,0.165218749298101,0.112068065116835,0.0804312861463866,0.0604669424022355,0.0462170553816195,0.0354108652820599,0.0275070463516752,0.0216131469813173,0.0173227466405471,0.0143507197328522,0.0121564080019508,0.0143420991990485,1,2560573.47492
"26","COG","CO2",0,0.0153346696409194,0.0569808204757608,0.0939568932964459,0.101401904803869,0.103297216803948,0.10140398025558,0.0962587290917655,0.0872163593307657,0.075044043685537,0.0640393715991601,0.0546144185798654,0.045948120025687,0.0386117722946787,0.0326780258358823,0.0332136742801349,1,1518642.67602
"27","COL","CO2",0.00324790944880575,0.0912204235076785,0.2234763978593,0.229870611754529,0.145651911657863,0.0838115789415531,0.0522600797983243,0.0364427189566936,0.028575778896811,0.0229116532848621,0.0185704702184968,0.015593225058045,0.0129665666271843,0.0110966692458652,0.0099545800025036,0.0143494247414844,1,8228660.23507
"28","CRI","CO2",0.00707116700764202,0.188792478325313,0.26579797394178,0.21595995654264,0.132633538403294,0.0710112528659768,0.0408335402695961,0.0243268050232468,0.0154761239866883,0.0102628307840352,0.00713747683915445,0.00551347228946304,0.00441718953105187,0.00366800363245697,0.00316876158558801,0.00392942897207363,1,229917.93925
"29","CUB","CO2",0.000652331101876093,0.20039430986384,0.33331419441884,0.237961168486951,0.103033679225427,0.0467650365027972,0.0284577089123057,0.0172391301685922,0.0107130176956638,0.00685949014696774,0.00455616775295772,0.00312021061176296,0.00229516688219331,0.00171859152362389,0.00140064183375663,0.00151915487244596,1,15465075.31016
"30","CUW","CO2",0,0.147856843835024,0.342128913294295,0.285304284992778,0.117779574794029,0.0427164870358246,0.0214112144582435,0.0125631160097668,0.0078721340331503,0.00539397661913894,0.00404388741944464,0.00317484384857958,0.00257280836362193,0.00218034353105061,0.00199136857611994,0.00301020318893286,1,490686.66933
"31","CYP","CO2",0,0.130028666510124,0.274830984269099,0.222874111176599,0.120362549983155,0.0731833849045786,0.0493871031697339,0.0349134249505851,0.0246046289032707,0.0181433506878857,0.013461862459282,0.0103168329772093,0.00819712748882242,0.00692051032589563,0.00588941427080461,0.00688604792295456,1,3351084
"32","CZE","CO2",0.000169361635535333,0.0717677392183107,0.280496034941067,0.289370978699768,0.164827830561507,0.0807659060855502,0.0401413925731998,0.0225041720022478,0.0146155373213592,0.0101229034214447,0.00737756530585221,0.00546159374296915,0.00409253331507286,0.00318605875748831,0.0025926579786536,0.00250773443997379,1,46494794.3124184
"33","DEU","CO2",0.00191232020633417,0.165872125690515,0.305459988364109,0.248127360763898,0.129318915572181,0.0621784615277959,0.0304099267841804,0.017247408411146,0.0113892741873295,0.00789142456504867,0.00569647801124301,0.00425595257622867,0.00327045049836759,0.00258896677224565,0.00214755776005639,0.0022333883093208,1,298746060.226087
"34","DNK","CO2",0.00877821279845938,0.265603745539654,0.21817734373479,0.219599399281536,0.155786268999807,0.0675040229491518,0.0248457070641093,0.0126250091218994,0.00809241014906199,0.00547481613871402,0.00391473308842068,0.00290302130623655,0.00223312399397079,0.00174082490207496,0.00138738722540345,0.00133397370671131,1,9883416.62695074
"35","DOM","CO2",0.000426906845263654,0.128324012786912,0.273353090183469,0.239449709587027,0.147732863686306,0.0834908082229955,0.0472378879543807,0.0277858608280767,0.0172441688522,0.010897676563577,0.00701629746751926,0.00503694144829327,0.00371710696933051,0.00289230757997641,0.00239534547319025,0.00299901555148324,1,8971498.66466
"36","DZA","CO2",0.0132718456432484,0.254829959950558,0.279249439000301,0.159251865730747,0.0943840736253711,0.0585503316926944,0.0373021077296625,0.0262470837790148,0.0194251006258,0.0142879962430985,0.0107868198737892,0.00854280745551343,0.00690177378942976,0.00571566319646589,0.00497683399890619,0.00627629766540072,1,35763219.38376
"37","ECU","CO2",6.33234283809904e-05,0.0393927614569048,0.172786599286637,0.204937450413134,0.173219809150645,0.115781205199262,0.0835550684775295,0.0589026358464093,0.0387098024769236,0.0271172525824689,0.0199950579560513,0.0154291908210628,0.0127682851966245,0.0110529782962665,0.0101239658109566,0.0161646136007434,1,2930369.80149
"38","EGY","CO2",0.00253170022398852,0.226700304227802,0.29792923250313,0.19820286690925,0.111622219351634,0.0618116331366583,0.0342764646448534,0.0210714881230946,0.014039860510197,0.00945779648631792,0.00656517114238956,0.00479256653175828,0.0035505086629918,0.00281031452150385,0.0022805658495479,0.00235730717488292,1,93889104.63516
"39","ERI","CO2",0,0.139348536720793,0.329253218075915,0.248615566599115,0.142617179551601,0.0601075347250718,0.0286942868120714,0.0160416715885775,0.0102926936999875,0.006991708569919,0.00497609847315403,0.00367637839344493,0.00282919339147311,0.00236623374073023,0.00200702929842716,0.00218267035971958,1,380048.96388
