"","CC","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"1","AF",1.24618787991981,62.008577320442,97.4375079590635,77.5866430198438,49.5915532106112,28.4833151776547,17.088694899837,11.1469361056852,7.60347894439737,5.34521126294887,3.87785751755059,2.9297009928859,2.27684398365795,1.84874939300498,1.56521185503988,1.84231886895599,371.878788391499
"2","AS",1.25541703057347,32.881493171321,56.3873185083335,51.633918531267,34.3288274605618,21.5014821056668,13.5690132042942,9.56434887065649,7.05696654159039,5.12404212854171,3.8217742154059,2.96064458389892,2.32624978992713,1.90602872216147,1.63360418789809,2.03086965741073,247.981998709509
"3","EU",4.1539511058204,43.7615174751914,60.3055247201098,54.8320891595501,39.5126911712707,22.9658007022642,11.9888762664589,6.8144901524947,4.47643224790764,3.10278562149781,2.2756792664283,1.7524922593702,1.38225664899827,1.13474929315895,0.971450532672705,1.1646461572672,260.595432780461
"4","NA",3.20603803959237,59.4839880865572,56.4989678549889,39.4930423309974,23.6874179471595,14.2220839126479,8.68030889540498,5.64657098593163,3.95664826234486,2.87573068011642,2.18349352384584,1.73691197314735,1.42196760251874,1.21391800866659,1.08294713101973,1.48880458941374,226.878839824353
"5","OC",1.38038608269363,24.5795388687595,33.1809102231433,31.7379346908887,23.9947318883129,15.8067018444049,9.73132962293886,6.51240577524829,4.58537432945472,3.28667596355171,2.42408152279403,1.86457900120599,1.4722320935348,1.23326864523076,1.08446477601326,1.47530025957052,164.349915587746
"6","SA",0.677460904752679,21.2328630608908,22.002713380829,12.7389655346327,7.26761792287484,4.23436725843847,2.57633238150581,1.71571955402466,1.21905543084976,0.883555142421427,0.674603424605331,0.539958243225015,0.443808144465129,0.380945706983583,0.346784983613318,0.537539227538557,77.4722903016511
