"","CC","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AF",0.0012407665533185,0.0827979328727002,0.1989665012121,0.232653281408771,0.178977065828816,0.107619315621532,0.0621878083962187,0.0393027753550174,0.026609270913185,0.0187637846557632,0.0137046664093584,0.0103516948217424,0.00809624584918157,0.00662979207955296,0.00568109580874375,0.00641800221399907,1,1005771.89035367
"2","AS",0.00087971666772151,0.0378887787685015,0.201002327242801,0.263101936200015,0.186503085822875,0.107728754489564,0.0599166971792475,0.0392447095650267,0.0284021673733872,0.0205804601298884,0.0152111269825091,0.0115682483118258,0.00893042689345314,0.00707614308531079,0.00584421941063972,0.0061212018772337,1,10975304.6830928
"3","EU",0.0108368271000263,0.105061495877402,0.217497992649157,0.243225309463317,0.176613163636601,0.102051954991039,0.0513384237975078,0.0282713942607106,0.0182575871030716,0.0125840035324607,0.00918153200379164,0.00703249537357775,0.00551072489314976,0.00447645701296719,0.00377577006993891,0.00428486823528309,1,1962326.804612
"4","NA",0.0104218850676151,0.166217155069198,0.260015001863697,0.214780577021272,0.128000111414759,0.0740059102919668,0.0438954156073986,0.0278883685936622,0.0191846726839558,0.0137742750115824,0.0103141200901989,0.00809715613001351,0.00655457484180191,0.00553041627659079,0.00487149557633803,0.00644886445995054,1,1733982.74077113
"5","OC",0.00137027812677989,0.0265624265403192,0.121709381711002,0.232787277016677,0.211006450021657,0.139556096303068,0.0807764798138245,0.0524257190730547,0.0362067638035048,0.0261504292148658,0.0191290245979264,0.0144060575346683,0.0111255697406531,0.00917522414972593,0.00794344671493053,0.00966937563734343,1,307581.805817815
"6","SA",0.00532576269938754,0.169194608723423,0.267721782774911,0.218521745996731,0.134085683806308,0.0748853487811604,0.0409752733518113,0.0246910936822561,0.0166334942762551,0.0117445210351807,0.00874963291214477,0.00687039936214261,0.0055544361793894,0.00469013194906808,0.00419066593170364,0.00616541853812774,1,317256.133373402
