"","CC","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AF",0.00208592665000725,0.0983256230836911,0.190988393046101,0.221628711329397,0.175296394295724,0.108672746387432,0.0624271543727212,0.039555872113182,0.0272352736608963,0.0193508116639492,0.0142954224459237,0.0109304152698967,0.00863244061718646,0.00715806679310518,0.00620378663535315,0.0072129616354338,1,482830693.22174
"2","AS",0.00129131302470812,0.0443450417881032,0.208355951216773,0.259478324096075,0.179213453535884,0.10475248351843,0.0593663260082194,0.0392415613607966,0.0284918915439415,0.0205465770920088,0.0151542901298088,0.01156034082955,0.00894757408920742,0.00711546738072206,0.00590008171901002,0.00623932266676217,1,8658850668.9105
"3","EU",0.00663278578562586,0.124932983057667,0.225816498264338,0.239832239950314,0.170155399662988,0.0962142579734128,0.0480679362247332,0.026461370142697,0.0172363308749047,0.0119479816702299,0.00874852481246037,0.00671258695573864,0.00526254416538027,0.00427380268555379,0.00361065908172798,0.00409409869222831,1,1712630501.23307
"4","NA",0.0160544190920239,0.150930670925374,0.255264207126736,0.21059980363636,0.129810534535178,0.0769350078612372,0.0460343186275835,0.0296538674035171,0.0208026160660015,0.0152339631333108,0.0116070637331009,0.00925909671788449,0.00760715639706609,0.00648880952721409,0.00578906351874205,0.00792940169866959,1,2230509760.38973
"5","OC",0.00236961636957719,0.0435602654131893,0.132500389604745,0.2272705749971,0.20215997813912,0.133648544268411,0.0778174224691889,0.0506682593892325,0.03506851232338,0.025310278179326,0.0185319414908511,0.0139884421610705,0.0108293543753664,0.00894661217338716,0.00775919347619175,0.0095706151698629,1,191615550.16263
"6","SA",0.00785462166646034,0.221069833427056,0.267363657370584,0.188566256890972,0.11770041160064,0.0686055459490726,0.0386144433163538,0.0239677626789833,0.0165672551214128,0.0118418538199175,0.00892700988223688,0.0070956980862431,0.005782109669211,0.00492353819790831,0.00443697604719599,0.00668302627575282,1,234640078.577511
