"","CC","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AF",0.0033510593204576,0.16674405547208,0.262014158915903,0.208634225564282,0.133354078690832,0.0765930084392676,0.0459523248791667,0.0299746488738964,0.0204461216443266,0.0143735309186865,0.0104277459177589,0.00787810728747892,0.00612254329833134,0.00497137629441423,0.004208930178056,0.00495408430506252,1,182964.363888617
"2","AS",0.00506253291410918,0.132596290627688,0.227384724704904,0.208216397964241,0.138432739631135,0.0867058182350327,0.0547177346537529,0.0385687224090018,0.0284575758656461,0.0206629600342246,0.0154114985575336,0.0119389495983823,0.00938072038306355,0.00768615759240748,0.0065875918268234,0.00818958500205387,1,1994767.19761929
"3","EU",0.0159402298862233,0.167928950282326,0.231414357790815,0.210410783391371,0.15162464955615,0.0881281780621678,0.0460057037014877,0.0261496914193257,0.0171777079902962,0.0119065234121419,0.0087326137766407,0.0067249538515381,0.00530422438432662,0.00435444812309862,0.00372781104529604,0.00446917332679561,1,665821.330754078
"4","NA",0.0141310579782339,0.262183939818314,0.249027048528323,0.174071069658027,0.104405584784804,0.0626858102926589,0.0382596671515297,0.024888045929286,0.0174394767947864,0.0126751824116466,0.00962405099363286,0.00765568077874535,0.0062675197194221,0.00535051223642711,0.00477323990134175,0.00656211302282028,1,787950.210709979
"5","OC",0.00839906779238134,0.149556139294982,0.201891860452025,0.193111962226375,0.145997835182959,0.0961771217702009,0.0592110411991257,0.0396252456349534,0.0279000710956045,0.0199980386469804,0.0147495148636071,0.0113451777236265,0.00895791207601065,0.0075039201621757,0.00659851130519302,0.00897658057379935,1,39937.0294878223
"6","SA",0.00874455759749548,0.274070418961633,0.284007524434322,0.164432540783698,0.0938092561169571,0.0546565390277126,0.0332548885733781,0.0221462350905624,0.0157353735910371,0.0114047892347207,0.0087076736982817,0.00696969511450609,0.00572860493393301,0.00491718659020287,0.00447624540675193,0.00693847084480864,1,128139.168158931
