"","CC","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AF",2.17033563650857e-05,0.0235838880060354,0.139523983998937,0.245360654406396,0.216295048260333,0.135280602967795,0.0759536919452522,0.0470054416021431,0.0318999902721097,0.022593064773063,0.0166443068717964,0.0126315064719292,0.00994751048336845,0.00823144771244861,0.00713527840070935,0.00789188047131898,1,2393427.14563285
"2","AS",4.75676183751622e-05,0.0264880235093671,0.187395221284173,0.274497236279342,0.204213154300012,0.113102260527622,0.0594131709782042,0.0376494420898048,0.0268290820705441,0.0195345677882171,0.0144387942622229,0.0108727700385549,0.00831214265359137,0.0065064865282981,0.00530460808959156,0.00539547198207889,1,14403778.7535688
"3","EU",0.00159952024268003,0.0155278297325038,0.200332683089417,0.285529797491177,0.20819732792669,0.1208180313405,0.0605240863861496,0.0322721647891716,0.0207690957673635,0.0145869530005078,0.0107381405270251,0.00835080172467151,0.00657756168251049,0.0052923516222251,0.00436923637859829,0.00451441829880941,1,2908016.18111679
"4","NA",0.00508960416306123,0.139344354355286,0.25919703701318,0.235658590881429,0.139538041138231,0.078340292463281,0.0460810293686717,0.0286292135417016,0.019023669541288,0.0132631471386691,0.00955877116324217,0.00722406017013051,0.00568081009930188,0.00465435471939231,0.00398747937837695,0.00472954486475821,1,2075081.77121384
"5","OC",8.44713729112623e-05,0.00228212959123988,0.104756946321866,0.240438039802963,0.224340559656979,0.148453058307994,0.0851224890225905,0.0550101816900241,0.0378987203515673,0.0274161591993465,0.0200353036940717,0.0150399921151456,0.0115740781513699,0.00952109071318429,0.00822149698091158,0.00980528302783466,1,481102.841717103
"6","SA",0.000554184669726693,0.0712043682184384,0.241691413586273,0.268004132335639,0.180382831339262,0.101502632863467,0.0501216084137926,0.0265162816885823,0.0166580757286018,0.011381871501266,0.0082302707013335,0.00632938341333329,0.00499017255163105,0.00411082963862387,0.00356444416240233,0.00475749918762831,1,281103.47724984
