"","CC","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"1","AF",0.0427279077100812,3.62699674034028,5.23188878297706,4.09168455680529,2.82759631881815,1.70224865942482,1.00203481446967,0.648133327685476,0.44499439766959,0.316437824954658,0.233821815019635,0.179358205811724,0.141780297100643,0.118005290946986,0.102460541274442,0.125642023056539,20.835811504065
"2","AS",0.0561587080478268,3.75866839323155,4.55051922453452,3.90849853114933,2.53327774837184,1.46545136256246,0.840444313048256,0.555018377737685,0.397662842466309,0.284665995219298,0.209170319034182,0.159091120737078,0.12312074357334,0.098282260068631,0.0818377673918339,0.089137391778527,19.1110050989527
"3","EU",0.506349784817438,8.54367308101447,6.56956015430653,5.39475922806568,3.42676495898432,1.91789651101707,1.01245272817755,0.593977302913179,0.402138200125004,0.281972448432521,0.204474588235734,0.154891255030899,0.119322000873618,0.0940289793886533,0.0800212977568914,0.0893792451445607,29.3916617642841
"4","NA",0.324563071222655,5.80958425696205,4.3161432690391,2.56906499748219,1.48232702993784,0.873241664946803,0.531056752532501,0.346946557854041,0.242922358334791,0.17664520595757,0.134459117217576,0.107106826563181,0.0879147742309592,0.0751980595715588,0.0673286426711895,0.0950775533264165,17.2395801378504
"5","OC",0.181975643913595,2.41230756893869,2.65196365244716,2.56892290916346,2.00973551317697,1.28380522017811,0.748633165277044,0.485069464936588,0.334040422831345,0.23889923689153,0.174939186221067,0.132357645137001,0.102823375864658,0.0851742237618867,0.0740800448634636,0.0934560634344598,13.578183337037
"6","SA",0.0922379927671792,4.99463490130172,4.02286095572611,1.64501956204566,0.837438662758935,0.446513200238936,0.249228685049387,0.154976552363571,0.102765315391789,0.0710354489626895,0.0524281695606522,0.0405975030912914,0.0325217430324498,0.0274490578488711,0.0245677102219898,0.0358688235743274,12.8301442839355
