"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"1","AGO",0.000120984191293165,20.8062289909685,142.191796094975,161.865047625062,146.247305292017,88.3878145606871,56.7588200040364,38.2585504959876,27.3898458996028,21.5467707492207,16.4893205644961,12.5022441843766,9.4913806472882,7.35820867958912,5.84957185867781,6.39713929710039,761.540165928277
"2","ARE",3.40862485618935,298.1298683598,359.711122468119,231.101662924837,144.880144025882,92.6710480867825,59.5699272481744,42.6387242007542,31.5394555798046,22.3359163615297,16.3571420397786,12.4759109918841,9.57426567742724,7.81405098530905,6.53061061723615,7.01747120244236,1345.75594562595
"3","ARG",2.30320684614952,51.7303707007836,58.6500693627213,32.481994254399,18.7394567960948,10.9209675571606,6.36725625488456,4.03994145538608,2.80779681802648,2.00982249211369,1.52029781293002,1.20945179091456,0.991076474237962,0.841971362057729,0.753646255465991,1.07156547600678,196.438891709333
"4","ARM",4.19089297240872,54.942531464771,59.0664832656183,31.0126743631433,20.3036969628938,14.2965314585233,9.60450121966917,6.93007328129228,5.04315730265153,3.73880364086331,2.93361988854145,2.44722961139602,2.10611179634011,1.87781111783479,1.74307112386785,2.58220632182498,222.81939579164
"5","AUS",1.37184616519776,24.2675833596542,32.9715631143828,31.9752344157137,24.3080835930698,16.0061024956687,9.82642319910037,6.56459198107321,4.61683351666874,3.31005079253755,2.44042934661894,1.87545196461148,1.4794321549995,1.23848029704494,1.08834393025561,1.47446248667177,164.814912813269
"6","AUT",1.01349533961084,25.5975909551824,22.3563833476285,14.4731614633315,8.98569176376953,5.85326422593686,3.63641810407881,2.40017960278244,1.71622050338831,1.25061789632457,0.978248299585601,0.797848909913839,0.649485149179351,0.568745340403403,0.520476893538738,0.884532732650215,91.6823605273049
"7","AZE",5.27393666841236,117.992426685597,131.579629854256,84.0173060627607,46.3293588604961,28.5483214597799,18.183210279764,12.8016779347901,9.30826279944523,6.71250947588627,5.11697850777275,4.03533370107591,3.28207883612222,2.74321599349628,2.41628354786939,3.22497621879722,481.565506886321
"8","BEL",2.98185045531923,78.9516858653744,74.4765869388808,42.3051712715639,26.2063487140639,15.8122090070262,9.06423907194533,5.64622567263458,3.84123843443272,2.61070603053539,1.89560307137819,1.42894243697264,1.11825946075373,0.936340370309866,0.797193974138013,0.839766439631669,268.912367214961
"9","BEN",0,0.988392109218049,4.15575574667952,4.36425340473663,2.29610329934841,1.04064189066068,0.515061377013469,0.291034673030775,0.182947435583819,0.121550254066212,0.0841115245711795,0.0599895071111637,0.0473264408712344,0.0377179939767781,0.0332470079986409,0.0455733786711488,14.2637060435377
"10","BFA",0,99.9044629680361,204.812844018263,155.734495349573,83.6725413602458,44.2393406437518,25.2439149396301,14.7963026749503,8.71986829079706,5.41496231379496,3.53501694162965,2.54256803964523,2.01967703605799,1.68588843237997,1.57567149751656,2.01311580641083,655.910670312682
