"ID","ISO3","fuel","longitude","latitude","co2_emis_ty","nox_emis_ty","sox_emis_ty","co_emis_ty","ch4_emis_ty","ID_MonthFact","ID_WeekFact","ID_HourFact","ID_VertProf"
"CoCO2_02868","CHN","coal",113.9172741,30.6566087,4677813.25257482,5252.53393074711,3589.61948321489,508.664620330982,49.4483430504737,"FM_040","FW_281","FH_266","VP_04075"
"CoCO2_02869","CHN","coal",114.499713,36.6420944,1029118.91556646,1155.55746476436,789.716286307275,111.906216472816,10.8786354711042,"FM_040","FW_281","FH_266","VP_04079"
"CoCO2_02870","CHN","coal",114.499713,36.6420944,1029118.91556646,1155.55746476436,789.716286307275,111.906216472816,10.8786354711042,"FM_040","FW_281","FH_266","VP_04079"
"CoCO2_02871","CHN","coal",114.499713,36.6420944,1029118.91556646,1155.55746476436,789.716286307275,111.906216472816,10.8786354711042,"FM_040","FW_281","FH_266","VP_04079"
"CoCO2_02872","CHN","coal",114.1516132,36.4717984,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_04083"
"CoCO2_02873","CHN","coal",114.1516132,36.4717984,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_04083"
"CoCO2_02874","CHN","coal",117.1548879,25.2810326,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04085"
"CoCO2_02875","CHN","coal",117.1548879,25.2810326,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04085"
"CoCO2_02876","CHN","coal",113.6907271,36.5985437,2806687.95154489,3151.52035844826,2153.77168992893,305.198772198589,29.6690058302842,"FM_040","FW_281","FH_266","VP_04153"
"CoCO2_02877","CHN","coal",113.6907271,36.5985437,2806687.95154489,3151.52035844826,2153.77168992893,305.198772198589,29.6690058302842,"FM_040","FW_281","FH_266","VP_04153"
"CoCO2_02878","CHN","coal",114.1798126,35.851366,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04160"
"CoCO2_02879","CHN","coal",114.1798126,35.851366,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04160"
"CoCO2_02880","CHN","coal",114.1798126,35.851366,2806687.95154489,3151.52035844826,2153.77168992893,305.198772198589,29.6690058302842,"FM_040","FW_281","FH_266","VP_04160"
"CoCO2_02881","CHN","coal",114.1798126,35.851366,2806687.95154489,3151.52035844826,2153.77168992893,305.198772198589,29.6690058302842,"FM_040","FW_281","FH_266","VP_04160"
"CoCO2_02882","CHN","coal",106.728496,39.306641,701671.987886222,787.880089612066,538.442922482233,76.2996930496473,7.41725145757106,"FM_040","FW_281","FH_266","VP_04161"
"CoCO2_02883","CHN","coal",106.728496,39.306641,701671.987886222,787.880089612066,538.442922482233,76.2996930496473,7.41725145757106,"FM_040","FW_281","FH_266","VP_04161"
"CoCO2_02884","CHN","coal",117.454585,31.149388,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_04165"
"CoCO2_02885","CHN","coal",117.454585,31.149388,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_04165"
"CoCO2_02886","CHN","coal",117.251775,31.913681,2947022.34912213,3309.09637637068,2261.46027442538,320.458710808519,31.1524561217985,"FM_040","FW_281","FH_266","VP_04166"
"CoCO2_02887","CHN","coal",117.251775,31.913681,2947022.34912213,3309.09637637068,2261.46027442538,320.458710808519,31.1524561217985,"FM_040","FW_281","FH_266","VP_04166"
"CoCO2_02888","CHN","coal",117.5075,31.8047,1637234.63840119,1838.38687576149,1256.36681912521,178.032617115844,17.3069200676658,"FM_040","FW_281","FH_266","VP_04167"
"CoCO2_02889","CHN","coal",117.5075,31.8047,1637234.63840119,1838.38687576149,1256.36681912521,178.032617115844,17.3069200676658,"FM_040","FW_281","FH_266","VP_04167"
