"ID_VertProf","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"VP_00001",0,0,0.232223411323114,0.307947228970028,0.192979219705798,0.109075375762236,0.0558266981794037,0.0306515076117899,0.0201712796095526,0.0139261920229842,0.00996338372160707,0.00785860114545291,0.0063792292686216,0.00479505885765893,0.00416448767456883,0.00403832614718448,1
"VP_00002",0.00402137757805528,0.217991135871611,0.273381716648655,0.163981613425159,0.116358819369536,0.0750306612158387,0.0422536281548739,0.027104917861134,0.0187378418686269,0.0140971492720738,0.0107656499013403,0.00871240821168374,0.007194882993585,0.00632912764437678,0.00564607933104739,0.00839299065240331,1
"VP_00003",0,0,0.251069629719099,0.31671294880156,0.202434156304485,0.103546219562929,0.0492958717433268,0.0254924196576053,0.0156233695567068,0.0107751272274862,0.00728957077429309,0.00559569481900751,0.00402045570078266,0.0031062559798549,0.00256746562535646,0.0024708145275077,1
"VP_00004",0,0,0.234968400921003,0.308840359333419,0.193421254699264,0.108149088155719,0.0568981688280196,0.0326872641843708,0.0202326308035796,0.01351224141462,0.00941221633966389,0.00713784305885113,0.00523969966619434,0.00389016431608561,0.00299681669826055,0.00261385158095006,1
"VP_00005",0,0,0.381862825428403,0.387669804129686,0.15418192426223,0.039641563587007,0.0123422340833667,0.00709159701033035,0.00567563106659533,0.00392255861387967,0.00280185737586178,0.00194227030730105,0.00126993495274381,0.000741236031074987,0.000524577868990606,0.000331985282529852,1
"VP_00006",0,0,0.230927244700463,0.306622196453318,0.203121340685325,0.111374860094741,0.0543589447115167,0.0285675648681848,0.0180962203960176,0.0122590609044592,0.00908234911704433,0.00699764729697846,0.00565420071354149,0.00463913358850858,0.00397936524465223,0.00431987122524945,1
"VP_00007",0,0,0.36831441801194,0.375736253409488,0.168350393375151,0.0450581184831492,0.0144576494864352,0.00878993531990013,0.00683679712559334,0.00484581589288163,0.00299829242663344,0.00181096023516617,0.000996565264975171,0.000780955853417503,0.000577055316339361,0.000446789798930768,1
"VP_00008",0,0,0.232223411323114,0.307947228970028,0.192979219705798,0.109075375762236,0.0558266981794037,0.0306515076117899,0.0201712796095526,0.0139261920229842,0.00996338372160707,0.0078586011454529,0.0063792292686216,0.00479505885765893,0.00416448767456883,0.00403832614718448,1
"VP_00009",0,0,0.251478526168728,0.317218870841621,0.187915994452425,0.0985631570099208,0.053352799980906,0.0297041810581792,0.0184829344380884,0.0125182131854287,0.00908121181860333,0.00674572798489694,0.00500647591615535,0.00384741974575719,0.0030832712794737,0.00300121611981545,1
"VP_00010",0.00771726124146276,0.473538850567709,0.292419462069085,0.109370195689088,0.0522558466804633,0.0277319641834998,0.0144765731949263,0.00836951811659685,0.00508866871177265,0.00293671962997575,0.00200025004166432,0.00141288170260587,0.000991598067806708,0.000674655008367629,0.000449492017948212,0.00056606307702788,1
"VP_00011",0,0.219052892007419,0.374894945838795,0.241182099121702,0.0868451951742532,0.0311765477946889,0.0165002523310594,0.0103928025846429,0.00717512661148063,0.0046029192083209,0.00310584336921797,0.00176676841832706,0.00120209858119821,0.000802791076774194,0.000656934979172569,0.000642782902947798,1
"VP_00012",0.00476776964346787,0.208941014530452,0.260681386066538,0.173312951715234,0.121335532577881,0.0761519915092891,0.0466229022178032,0.0312003858997162,0.0218916405430252,0.014944545098335,0.0110689675365877,0.00849222738845787,0.00687453808347588,0.00541545915090966,0.00438212666014672,0.00391656137868094,1
"VP_00013",0.0125102972478341,0.496833776000121,0.309896902482353,0.105909915397164,0.0392527211526965,0.0160966891990045,0.00804161271201998,0.00431512179279494,0.0022806794944801,0.00133441341896556,0.000903586922230796,0.000699389428406081,0.000485142035057675,0.000457279378986377,0.000445144632965949,0.000537328704919316,1
"VP_00014",0.0156035780032759,0.141853144051565,0.193343116505913,0.170595678179844,0.131333218017188,0.0990589075745644,0.0680679843943378,0.0476276697881737,0.0335720543067536,0.0230928252709371,0.0175538115155893,0.0139378133973838,0.0115935328607744,0.0102164345683634,0.0090911423631011,0.0134590892022358,1
"VP_00015",0.0185764103371298,0.212843306256576,0.250816634231804,0.183663776689439,0.125883616275087,0.0752863378659067,0.0419675694901868,0.0273200657996176,0.0183073058649397,0.012633011638002,0.0091346454694648,0.00677916591539968,0.00526888988513501,0.00431913106604816,0.00355447360411352,0.00364565961115039,1
